bartoc,uri,label
http://bartoc.org/en/taxonomy/term/11915,http://eurovoc.europa.eu/1440,flood
http://bartoc.org/en/taxonomy/term/11785,http://eurovoc.europa.eu/385,demography
http://bartoc.org/en/taxonomy/term/11772,http://eurovoc.europa.eu/494,documentation
http://bartoc.org/en/taxonomy/term/12639,http://eurovoc.europa.eu/5277,"conference proceedings"
http://bartoc.org/en/taxonomy/term/12576,http://eurovoc.europa.eu/438,dictionary
http://bartoc.org/en/taxonomy/term/12547,http://eurovoc.europa.eu/1681,"grey literature"
http://bartoc.org/en/taxonomy/term/12658,http://eurovoc.europa.eu/7369,manuscript
http://bartoc.org/en/taxonomy/term/12595,http://eurovoc.europa.eu/1902,microform
http://bartoc.org/en/taxonomy/term/12466,http://eurovoc.europa.eu/6765,quote
http://bartoc.org/en/taxonomy/term/12441,http://eurovoc.europa.eu/2492,archives
http://bartoc.org/en/taxonomy/term/11681,http://eurovoc.europa.eu/487,"audiovisual document"
http://bartoc.org/en/taxonomy/term/12414,http://eurovoc.europa.eu/4864,bibliography
http://bartoc.org/en/taxonomy/term/11663,http://eurovoc.europa.eu/7363,"graphic illustration"
http://bartoc.org/en/taxonomy/term/11760,http://eurovoc.europa.eu/1752,"information analysis"
http://bartoc.org/en/taxonomy/term/12415,http://eurovoc.europa.eu/5272,cataloguing
http://bartoc.org/en/taxonomy/term/11606,http://eurovoc.europa.eu/1350,"document indexing"
http://bartoc.org/en/taxonomy/term/11742,http://eurovoc.europa.eu/4865,library
http://bartoc.org/en/taxonomy/term/12661,http://eurovoc.europa.eu/6067,"virtual library"
http://bartoc.org/en/taxonomy/term/11848,http://eurovoc.europa.eu/4868,"public library"
http://bartoc.org/en/taxonomy/term/11977,http://eurovoc.europa.eu/4869,"scientific library"
http://bartoc.org/en/taxonomy/term/11689,http://eurovoc.europa.eu/4144,newspaper
http://bartoc.org/en/taxonomy/term/12462,http://eurovoc.europa.eu/4475,"drug addiction"
http://bartoc.org/en/taxonomy/term/11761,http://eurovoc.europa.eu/2594,"early childhood"
http://bartoc.org/en/taxonomy/term/11631,http://eurovoc.europa.eu/668,education
http://bartoc.org/en/taxonomy/term/11569,http://eurovoc.europa.eu/674,"adult education"
http://bartoc.org/en/taxonomy/term/11744,http://eurovoc.europa.eu/2467,"education policy"
http://bartoc.org/en/taxonomy/term/11724,http://eurovoc.europa.eu/1419,"elimination of illiteracy"
http://bartoc.org/en/taxonomy/term/11737,http://eurovoc.europa.eu/673,"mass education"
http://bartoc.org/en/taxonomy/term/12549,http://eurovoc.europa.eu/48,"educational administration"
http://bartoc.org/en/taxonomy/term/11738,http://eurovoc.europa.eu/4357,"educational system"
http://bartoc.org/en/taxonomy/term/11813,http://eurovoc.europa.eu/2333,"elderly person"
http://bartoc.org/en/taxonomy/term/12480,http://eurovoc.europa.eu/695,election
http://bartoc.org/en/taxonomy/term/11865,http://eurovoc.europa.eu/100232,employment
http://bartoc.org/en/taxonomy/term/12568,http://eurovoc.europa.eu/3516,"reintegration into working life"
http://bartoc.org/en/taxonomy/term/11735,http://eurovoc.europa.eu/1074,"vocational training"
http://bartoc.org/en/taxonomy/term/12613,http://eurovoc.europa.eu/4420,"energy technology"
http://bartoc.org/en/taxonomy/term/12476,http://eurovoc.europa.eu/4629,"energy use"
http://bartoc.org/en/taxonomy/term/11748,http://eurovoc.europa.eu/6397,"environmental education"
http://bartoc.org/en/taxonomy/term/14058,http://eurovoc.europa.eu/535,"environmental law"
http://bartoc.org/en/taxonomy/term/11918,http://eurovoc.europa.eu/2825,"environmental protection"
http://bartoc.org/en/taxonomy/term/12588,http://eurovoc.europa.eu/688,"equal treatment"
http://bartoc.org/en/taxonomy/term/11597,http://eurovoc.europa.eu/4060,"European Union"
http://bartoc.org/en/taxonomy/term/12519,http://eurovoc.europa.eu/255,"Court of Justice of the European Union"
http://bartoc.org/en/taxonomy/term/12521,http://eurovoc.europa.eu/4479,"European treaties"
http://bartoc.org/en/taxonomy/term/12518,http://eurovoc.europa.eu/5854,"interinstitutional relations (EU)"
http://bartoc.org/en/taxonomy/term/11702,http://eurovoc.europa.eu/100175,"European Union law"
